SALEDATE,WHSALNAME,CMPNAME,LARGENAME_API,MIDNAME_API,SMALLNAME,AVGAMT,STD,TOTQTY,MY_TARGET_ITEM_NAME,MY_TARGET_LARGENAME,MY_TARGET_MIDNAME,WHSALCD
20250308,천안,천안청과㈜,엽경채류,배추,쌈배추,20000.000,10.000kg상자,560.000,배추,엽경채류,배추,340101
20250308,천안,천안농협(공),엽경채류,배추,쌈배추,21500.000,10.000kg상자,550.000,배추,엽경채류,배추,340101
20250308,천안,천안농협(공),엽경채류,배추,우거지,5000.000,12.000kg상자,24.000,배추,엽경채류,배추,340101
20250308,천안,천안농협(공),엽경채류,배추,기타배추,3766.667,1.000kg상자,14.000,배추,엽경채류,배추,340101
20250308,천안,천안청과㈜,엽경채류,배추,우거지,23430.000,1.000kg상자,1.000,배추,엽경채류,배추,340101
20250310,천안,천안농협(공),엽경채류,배추,월동배추,8750.000,12.000kg그물망,1236.000,배추,엽경채류,배추,340101
20250310,천안,천안청과㈜,엽경채류,배추,저장배추,13780.000,12.000kg상자,8628.000,배추,엽경채류,배추,340101
20250310,천안,천안농협(공),엽경채류,배추,쌈배추,18500.000,10.000kg상자,530.000,배추,엽경채류,배추,340101
20250310,천안,천안농협(공),엽경채류,배추,쌈배추,20000.000,8.000kg상자,16.000,배추,엽경채류,배추,340101
20250310,천안,천안농협(공),엽경채류,배추,우거지,10000.000,12.000kg상자,12.000,배추,엽경채류,배추,340101
20250310,천안,천안농협(공),엽경채류,배추,월동배추,8750.000,12.000kg그물망,1236.000,배추,엽경채류,배추,340101
