date,MY_TARGET_ITEM_NAME,countyname_api,avg_price
2025-02-14,Cabbage,Sejong,4220
2025-02-14,Cabbage,Suwon,5775
2025-02-14,Cabbage,Seongnam,4220
2025-02-14,Cabbage,Goyang,4220
2025-02-14,Cabbage,Yongin,4220
2025-02-14,Cabbage,Chuncheon,6550
2025-02-14,Cabbage,Gangneung,3750
2025-02-14,Cabbage,Cheongju,5275
2025-02-14,Cabbage,Cheonan,4220
2025-02-14,Cabbage,Jeonju,5110
2025-02-14,Cabbage,Suncheon,5150
2025-02-14,Cabbage,Pohang,5795
2025-02-14,Cabbage,Andong,4220
2025-02-14,Cabbage,Changwon,5525
2025-02-14,Cabbage,Gimhae,3750
2025-02-14,Cabbage,Jeju,6070
2025-02-17,Cabbage,Seoul,4770
